,time_period,epu,epu_scaled
0,1988-10-01,0.0,0.0
1,1988-11-01,0.0037267080745341614,85.29837831378025
2,1988-12-01,0.0021551724137931034,49.328444355311134
3,1989-01-01,0.00392349190779794,89.80244504507844
4,1989-02-01,0.0010559662090813093,24.169375058990884
5,1989-03-01,0.0026845637583892616,61.44536424393119
6,1989-04-01,0.0011594202898550724,26.53727325317608
7,1989-05-01,0.003028773346794548,69.32377036102282
8,1989-06-01,0.0038095238095238095,87.19389783186426
9,1989-07-01,0.0024319066147859923,55.66244693789974
10,1989-08-01,0.0024582104228121925,56.26449896967641
11,1989-09-01,0.0010384215991692627,23.76780704139602
12,1989-10-01,0.002802690582959641,64.14909804053916
13,1989-11-01,0.0015519917227108122,35.52260452281072
14,1989-12-01,0.005530417295123178,126.58239315711819
15,1990-01-01,0.003908431044109436,89.45772600002825
16,1990-02-01,0.0022650056625141564,51.84235148553651
17,1990-03-01,0.0015519917227108122,35.52260452281072
18,1990-04-01,0.003678724708767627,84.20011593205776
19,1990-05-01,0.004119464469618949,94.28794307256176
20,1990-06-01,0.005030181086519115,115.13278763010246
21,1990-07-01,0.0014785608674223755,33.841889868207545
22,1990-08-01,0.004527162977867203,103.61950886709221
23,1990-09-01,0.00599880023995201,137.30292849948634
24,1990-10-01,0.002320185614849188,53.105332206181835
25,1990-11-01,0.0024975024975024975,57.163831620540385
26,1990-12-01,0.005685856432125089,130.14014601770785
27,1991-01-01,0.0035629453681710215,81.55011228336474
28,1991-02-01,0.0006583278472679394,15.068069901819861
29,1991-03-01,0.0028735632183908046,65.77125914041486
30,1991-04-01,0.0017953321364452424,41.09227680586062
31,1991-05-01,0.0011129660545353367,25.474010217990394
32,1991-06-01,0.0029006526468455403,66.39129276537888
33,1991-07-01,0.0005213764337851929,11.93347141859456
34,1991-08-01,0.0022522522522522522,51.55044635329813
35,1991-09-01,0.006224066390041493,142.45890983940478
36,1991-10-01,0.006507592190889371,148.94836126375947
37,1991-11-01,0.003858875413450937,88.32347699341267
38,1991-12-01,0.004794885455514118,109.74724753744236
39,1992-01-01,0.00510204081632653,116.77754173910391
40,1992-02-01,0.0029779630732578916,68.16080458863719
41,1992-03-01,0.005367686527106817,122.85774654248185
42,1992-04-01,0.002960331557134399,67.75724742707037
43,1992-05-01,0.004354926510615134,99.67729202336145
44,1992-06-01,0.002320185614849188,53.105332206181835
45,1992-07-01,0.005230125523012552,119.70919550661282
46,1992-08-01,0.0011621150493898896,26.598951982410657
47,1992-09-01,0.002963841138114997,67.83757611400227
48,1992-10-01,0.003287310979618672,75.24128264583948
49,1992-11-01,0.0012515644555694619,28.64630560809058
50,1992-12-01,0.0012738853503184713,29.157195134859066
51,1993-01-01,0.00463768115942029,106.14909301270433
52,1993-02-01,0.0030156815440289505,69.02411996641848
53,1993-03-01,0.002840909090909091,65.0238584683647
54,1993-04-01,0.0027643400138217,63.271314943647184
55,1993-05-01,0.0024052916416115455,55.05327283430997
56,1993-06-01,0.0017016449234259785,38.947926569820254
57,1993-07-01,0.003293084522502744,75.37342979428442
58,1993-08-01,0.001199040767386091,27.444122519022024
59,1993-09-01,0.004212299915754001,96.41279772899902
60,1993-10-01,0.003001200480192077,68.69267161123761
61,1993-11-01,0.0022172949002217295,50.75032856067487
62,1993-12-01,0.00205761316872428,47.09546950795138
63,1994-01-01,0.002152852529601722,49.27534592220532
64,1994-02-01,0.0017162471395881006,39.28214790766196
65,1994-03-01,0.0022148394241417496,50.6941266464327
66,1994-04-01,0.004910988336402701,112.40465650516572
67,1994-05-01,0.001671309192200557,38.25359027442513
68,1994-06-01,0.003943661971830986,90.26410550200032
69,1994-07-01,0.0034423407917383822,78.78966671554
70,1994-08-01,0.0006807351940095302,15.580938176218087
71,1994-09-01,0.0,0.0
72,1994-10-01,0.0006968641114982578,15.950103261926388
73,1994-11-01,0.0032679738562091504,74.79868686556983
74,1994-12-01,0.0019392372333548805,44.3860339641843
75,1995-01-01,0.0025477707006369425,58.31439026971813
76,1995-02-01,0.001893939393939394,43.349238978909796
77,1995-03-01,0.0016741071428571428,38.31763088314347
78,1995-04-01,0.0028169014084507044,64.47436107285738
79,1995-05-01,0.001749271137026239,40.03801431054991
80,1995-06-01,0.0025284450063211127,57.87205608309576
81,1995-07-01,0.0012531328320802004,28.682203234165875
82,1995-08-01,0.0011280315848843769,25.81883607542512
83,1995-09-01,0.002066115702479339,47.29007888608341
84,1995-10-01,0.0014154281670205238,32.396883483176744
85,1995-11-01,0.0032808398950131233,75.09316988472563
86,1995-12-01,0.001539645881447267,35.24002799209294
87,1996-01-01,0.003870967741935484,88.60025102270077
88,1996-02-01,0.0033472803347280333,76.61388512423218
89,1996-03-01,0.0015037593984962407,34.41864388099905
90,1996-04-01,0.0014749262536873156,33.758699381805855
91,1996-05-01,0.0,0.0
92,1996-06-01,0.002824858757062147,64.65649203634003
93,1996-07-01,0.0,0.0
94,1996-08-01,0.005681818181818182,130.0477169367294
95,1996-09-01,0.0,0.0
96,1996-10-01,0.0,0.0
97,1996-11-01,0.0,0.0
98,1996-12-01,0.004705882352941176,107.71010908642053
99,1997-01-01,0.003028009084027252,69.30627761049014
100,1997-02-01,0.0015515903801396431,35.513418434234865
101,1997-03-01,0.0016313213703099511,37.338333084607456
102,1997-04-01,0.0016233766233766235,37.156490553351254
103,1997-05-01,0.003703703703703704,84.77184511431248
104,1997-06-01,0.004273504273504274,97.81366743959133
105,1997-07-01,0.0032030749519538757,73.31325490347331
106,1997-08-01,0.003641660597232338,83.35177778901809
